Tv's,Preços
"Samsung Smart TV 50"" Crystal UHD 4K 50DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 2463,57"
"Smart TV 43"" LG Full HD 43LR6700 Processador α5 Ger6 AI Alexa integrado LG Channels webOS 23 compatível com Controle Smart Magic","R$ 2109,00"
"Smart TV Philips 50"" 4K HDR 50PUG7019/78, Google TV, Comando de Voz","R$ 2052,09"
Smart TV 32” Philco PTV32K34RKGB Roku TV Led Dolby Audio,"R$ 939,90"
"Samsung Smart TV 43"" UHD 4K 43DU7700 - Processador Crystal 4K, Gaming Hub","R$ 2139,17"
"Samsung Smart TV 70"" Crystal UHD 4K 70DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 5199,00"
"Samsung Smart TV 55"" Crystal UHD 4K 55DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 2799,00"
"Samsung UN32T4300AGXZD - Smart TV LED 32"" HD, Wifi, HDMI, USB","R$ 1072,71"
"Smart TV 4K 50"" LG UHD 50UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 2295,22"
"TCL LED SMART TV 32” S5400AF FHD ANDROID TV, PRETO","R$ 1044,05"
"Smart TV 32"" LG HD 32LR600B Processador α5 Ger6 AI Alexa integrado LG Channels webOS 23 compatível com Controle Smart Magic","R$ 1179,00"
"Samsung Smart TV 65"" Crystal UHD 4K 65DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 3504,55"
"Smart TV 43"" HD AOC Roku 43S5045/78G TV HDMI 1 USB Wifi Conversor Digital","R$ 1519,04"
"Smart TV 32"" HD AOC Roku 32S5045/78G TV HDMI 1 USB Wifi Conversor Digital","R$ 993,19"
"Smart TV 4K 55"" LG OLED evo OLED55C4 Processador α9 Ger7 AI Painel 144Hz Intensificador de Brilho Design Ultra Slim Dolby Vision Dolby Atmos","R$ 5595,00"
"Smart TV 4K 43"" LG UHD 43UT8000 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 compatível com Controle Smart Magic","R$ 2249,00"
"Smart TV 4K 55"" LG NanoCell 55NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 2814,00"
Britânia Smart TV 32” BTV32G7PR2CSGBLH LED Dolby Áudio,"R$ 898,00"
TCL QLED TV 55” C655 4K UHD GOOGLE TV DOLBY VISION ATMOS,"R$ 2799,00"
"Samsung Smart TV 65"" QLED 4K 65Q60D - Tecnologia de Pontos Quânticos, Design AirSlim, Gaming Hub","R$ 4829,00"
"Samsung Smart Big TV 75"" Crystal UHD 4K 75DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 5487,51"
Smart TV 32” Philco LED Roku TV PTV32G7PR2CGB,"R$ 999,00"
"Smart TV 4K 65"" LG UHD 65UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 3469,98"
"Smart TV 55"" 4K 120 Hz Philips THE ONE 55PUG8808/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 40 WRMS","R$ 3199,00"
"Patrocinado
Suporte Articulado de Parede para TVs de 14"" a 55"" – Ajuste Livre, Suporta até 30kg – Compatível com LED, LCD, Smart TV e Plasma","R$ 104,70"
"Patrocinado
Suporte Móvel Ajustável com Rodinhas Ideal para Geladeiras, Máquinas de Lavar e Móveis, Resistente, Reforçado, Até 200 Kg- Linha Premium","R$ 61,90"
"Patrocinado
Controle Remoto Smart TV LED Compatível Com Samsung UN55RU7100GXZD OMAIC Com Netflix Prime Vídeo Internet","R$ 37,90"
"Samsung Smart TV QLED 32"" Full HD QN32LS03C - Gaming Hub, Tela Matte, Modo Arte, Suporte de parede incluso","R$ 1849,00"
"Samsung Smart Gaming TV 50"" Neo QLED 4K 50QN90D - Processador com AI, Upscaling 4K, Mini LED, Painel até 144hz","R$ 4846,99"
"Smart TV 4K 65"" LG NanoCell 65NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 3654,00"
Smart TV 40” PTV40E3ERSGB Roku TV Led Dolby Audio,"R$ 1349,00"
"Smart TV Philips 43"" Full HD 43PFG6909/78, Google TV, Comando de Voz, HDR","R$ 1649,00"
"Samsung Smart TV 55"" QLED 4K 55Q60D - Tecnologia de Pontos Quânticos, Design AirSlim","R$ 3735,99"
"Smart TV 4K 50"" LG NanoCell 50NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 2430,00"
"Smart TV LG 43"" 4K 43UR781C webOS 23, Wi-Fi, Inteligência Artificial ThinQ, built-in, Google Assistente, Alexa AppleAirplay & HomeKit Design Ultrafino","R$ 1858,92"
Smart TV Philco PTV58G7UR2CSBL 58” 4K Led Dolby Audio,"R$ 2297,07"
"Smart TV Philips Ambilight 50"" 4K 50PUG7908/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 2399,00"
"Smart TV 4K 55"" LG QNED 55QNED85T Processador α8 AI Painel 120Hz Quantum Dot Nanocell Local Dimming Design Super Slim FreeSync webOS 24","R$ 3799,05"
2022 Smart TV LG 60' 4K UHD 60UQ8050 WiFi Bluetooth HDR Nvidia GEFORCE NOW ThinQAI Smart Magic Google Alexa,"R$ 3181,55"
TCL LED SMART TV 55” P755 4K UHD GOOGLE TV,"R$ 2279,00"
"Samsung Smart Gaming TV 43"" Neo QLED 4K 43QN90D - Processador com AI, Upscaling 4K, Mini LED, Painel até 144hz","R$ 3963,21"
"TCL LED TV 40"" S5400A FHD Android TV","R$ 1519,05"
"Smart TV 4K 55"" LG UHD 55UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 2649,55"
"Smart TV Aiwa 43”, Android, Full HD, Borda Ultrafina, HDR10, Dolby Áudio - AWS-TV-43-BL-02-A","R$ 1590,88"
"Samsung Smart TV 55"" QLED 4K 55Q70D - Tecnologia de Pontos Quânticos, Upscaling 4K AI, Painel até 120Hz","R$ 3599,00"
SMART TV SAMSUNG SMART TV UHD CRYSTAL 4K 55,N/A
"Smart TV LED 32"" HQ HD 3 HDMI 2 USB WI-FI Android 11 Design Slim","R$ 929,00"
TCL QLED TV 65” C655 4K UHD GOOGLE TV DOLBY VISION ATMOS,"R$ 3419,04"
SMART TV SAMSUNG BE50D-H UHD 4K 3HDMI 1USB TIZEN,"R$ 2148,07"
"Samsung Smart TV LED 43"" FULL HD UN43T5300 - Wifi, HDMI","R$ 1891,18"
"Smart TV Philips 55"" 4K 55PUG7408/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 2699,90"
"Patrocinado
Suporte Articulado de Parede para TVs de 14"" a 55"" – Ajuste Livre, Suporta até 30kg – Compatível com LED, LCD, Smart TV e Plasma","R$ 104,70"
"Patrocinado
Suporte Móvel Ajustável com Rodinhas Ideal para Geladeiras, Máquinas de Lavar e Móveis, Resistente, Reforçado, Até 200 Kg- Linha Premium","R$ 61,90"
"Patrocinado
Controle Remoto Smart TV LED Compatível Com Samsung UN55RU7100GXZD OMAIC Com Netflix Prime Vídeo Internet","R$ 37,90"
"Smart TV Aiwa 32”, Android, HD, Borda Ultrafina, HDR10, Dolby Áudio - AWS-TV-32-BL-02-A","R$ 1035,90"
"Samsung Smart Big TV 75"" QLED 4K 75Q60D 2024, Tecnologia de Pontos Quânticos, Design AirSlim","R$ 6115,21"
"Smart TV 4K 55"" LG QNED 55QNED80T Processador α5 Ger7 AI Quantum Dot Nanocell Local Dimming Design Super Slim Alexa/Chromecast integrado webOS 24","R$ 3260,00"
"AOC 43S5135/78G - Smart TV LED 43"" Full HD, Design sem bordas, Wifi, Conversor Digital, USB, HDMI","R$ 1439,00"
"Hisense Smart TV FHD 40"" Polegadas 40A4N com DTS Virtual X, Game e Sports Mode, Controle por Voz, Share to TV e Compatível com Alexa",N/A
TCL LED SMART TV 50” P755 4K UHD GOOGLE TV,"R$ 2258,16"
"HQ Smart TV LED 24"" 2 HDMI 2 USB WI-FI Androind 11 e Processador Quad Core","R$ 828,90"
"Smart TV 65"" 4K 120 Hz Philips THE ONE 65PUG8808/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 40 W RMS","R$ 4199,00"
"Samsung Smart TV 55"" Neo QLED 4K 55QN85D - Processador com AI, Upscaling 4K, Mini LED, Painel 120hz","R$ 4369,90"
TCL LED SMART TV 43” P755 4K UHD GOOGLE TV,"R$ 1899,00"
"Smart TV 50"" HQ UDE50HR315LN 4K com Conversor Digital 3 HDMI 2 USB WI-FI Android 11 Design Slim e Tela Frameless","R$ 1879,00"
Smart TV 42” Philco PTV42M9GR2CMB LED Roku TV,"R$ 1442,87"
"Smart TV 75"" 4K 120 Hz Philips THE ONE 75PUG8808/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 50W RMS 2.1","R$ 5499,00"
"Samsung Smart TV 58"" UHD 4K 58CU7700, Processador Crystal 4K, Gaming Hub, Visual Livre de Cabos, Tela sem limites, Alexa built in, Controle Único","R$ 3549,00"
"Samsung Smart TV 43"" Crystal UHD 4K 43DU8000 - Painel Dynamic Crystal Color, Gaming Hub","R$ 2549,00"
"Samsung Smart TV 60"" UHD 4K 60DU7700 - Processador Crystal 4K, Gaming Hub","R$ 3699,00"
"Samsung Smart TV 65"" QLED 4K 65Q70D - Tecnologia de Pontos Quânticos, Upscaling 4K AI, Painel até 120Hz","R$ 5210,90"
Smart TV 50 Philco PTV50G7PR2CSB 4K Roku TV Led Dolby Audio,"R$ 2061,71"
"Samsung Smart TV 50"" QLED 4K 50Q60D - Tecnologia de Pontos Quânticos, Design AirSlim","R$ 3199,00"
"Samsung Smart TV 70"" UHD 4K 70DU7700 - Processador Crystal 4K, Gaming Hub","R$ 4569,04"
"Smart TV 4K 70"" LG UHD 70UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 3869,00"
"Smart TV Philips 70"" 4K 70PUG7408/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 3847,90"
"Samsung Smart TV 55"" OLED 4K 55S90D - Processador com AI, Painel até 144hz","R$ 5699,05"
"Smart TV LG 50"" 4K 50UR871C0SA UHD Wi-Fi, Inteligência Artificial ThinQ, built-in, Google Assistente Design Ultrafino","R$ 2259,00"
"Patrocinado
Suporte Articulado de Parede para TVs de 14"" a 55"" – Ajuste Livre, Suporta até 30kg – Compatível com LED, LCD, Smart TV e Plasma","R$ 104,70"
"Patrocinado
Suporte Móvel Ajustável com Rodinhas Ideal para Geladeiras, Máquinas de Lavar e Móveis, Resistente, Reforçado, Até 200 Kg- Linha Premium","R$ 61,90"
"Patrocinado
Suporte TV Tri Articulado Universal de Parede Para Televisões de 26 a 60 Polegadas Feito em Aço Carbono Suporta 30KG (Triarticulado)","R$ 99,99"
"Smart TV 4K 65"" LG QNED 65QNED85T Processador α8 AI Painel 120Hz Quantum Dot Nanocell Local Dimming Design Super Slim FreeSync webOS 24","R$ 5742,53"
"Smart TV Philips 32"" HD 32PHG6918/78, Google TV, Comando de Voz, HDR, 3 HDMI, Wifi 5G, Bluetooth","R$ 1233,56"
"Smart TV 4K 75"" LG UHD 75UT8050 Processador α5 Ger7 AI Alexa/Chromecast integrado Otimizador de Jogos webOS 24 Controle Smart Magic","R$ 5224,04"
"Samsung Smart TV Neo QLED 55"" 4K UHD QN85C - Alexa built in, Mini Led, Processador com IA, Preto Titan","R$ 4099,00"
"Samsung Smart TV LED 32"" HD LS32BETBL - Wifi, HDMI, USB","R$ 1309,00"
Samsung Smart TV 55 polegadas QLED The Frame LS03D - Tela Matte,"R$ 4644,78"
TCL LED SMART TV 65” P755 4K UHD GOOGLE TV,"R$ 3269,00"
"Smart TV LED 43"" Full HD Samsung LH43BETMLGGXZD, 2 HDMI, 1 USB, Wi-Fi, HDR, Sistema Operacional Tizen e Dolby Digital Plus","R$ 1899,89"
"Smart TV 55"" Mini LED 4K 120 Hz Philips THE XTRA 55PML9118/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 40 WRMS","R$ 3899,00"
"TV LG 55"" LED 4K UHD Smart Pro 55UR871C0SA","R$ 2568,00"
"Smart TV 4K 65"" LG OLED evo OLED65C4 Processador α9 Ger7 AI Painel 144Hz Intensificador de Brilho Design Ultra Slim Dolby Vision Dolby Atmos","R$ 10199,00"
"TCL Premium 4K QD-Mini LED 75"" C755 Google TV Dolby Vision IQ","R$ 7489,50"
"Smart TV Philips Ambilight 65"" 4K 65PUG7908/79, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 4132,94"
"Hisense Smart TV UHD 4K QLED 75"" Polegadas 75Q6N Google TV com HDR10+, Dolby Atmos, Modo Esporte, Modo Jogo Plus e Compatível com Alexa","R$ 4889,84"
"TCL LED TV 43"" S5400A FHD Android TV","R$ 1709,06"
"Smart TV 65"" Mini LED 4K 120 Hz Philips THE XTRA 65PML9118/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 40 WRMS","R$ 5199,00"
"Smart TV 75"" Mini LED 4K 120 Hz Philips THE XTRA 75PML9118/78, Google TV, Ambilight, P5, DTS Play-Fi, Freesync, Dolby Vision Atmos, 40 WRMS","R$ 6799,00"
"Smart TV Philips 50"" 4K 50PUG7408/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 2019,79"
"Smart TV 4K 65"" LG OLED evo OLED65G4 Processador α11 AI Painel 144Hz Intensificador de Brilho Máximo Design Onewall Dolby Vision Dolby Atmos","R$ 14755,90"
"Smart TV 4K 65"" LG QNED 65QNED80T Processador α5 Ger7 AI Quantum Dot Nanocell Local Dimming Design Super Slim Alexa/Chromecast integrado webOS 24","R$ 4463,05"
"Smart TV 4K 70"" LG NanoCell 70NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 3799,00"
"Smart TV LED 32"" HD AOC 32S5135/78G - Design sem bordas, Wifi, Conversor Digital, USB, HDMI","R$ 999,00"
"Smart TV 4K 55"" LG OLED evo OLED55G4 Processador α11 AI Painel 144Hz Intensificador de Brilho Máximo Design Onewall Dolby Vision Dolby Atmos","R$ 8195,00"
Samsung Smart TV 43 polegadas QLED The Frame LS03D - Tela Matte,"R$ 3432,99"
"Patrocinado
Suporte Articulado de Parede para TVs de 14"" a 55"" – Ajuste Livre, Suporta até 30kg – Compatível com LED, LCD, Smart TV e Plasma","R$ 104,70"
"Patrocinado
Suporte Móvel Ajustável com Rodinhas Ideal para Geladeiras, Máquinas de Lavar e Móveis, Resistente, Reforçado, Até 200 Kg- Linha Premium","R$ 61,90"
"Patrocinado
Suporte TV Tri Articulado Universal de Parede Para Televisões de 26 a 60 Polegadas Feito em Aço Carbono Suporta 30KG (Triarticulado)","R$ 99,99"
TCL LED SMART TV 75” P755 4K UHD GOOGLE TV,"R$ 4718,18"
"Smart TV Philips Ambilight 75"" 4K 75PUG7908/78, Google TV, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth","R$ 5679,90"
"SMART TV LG 32"" 32LR651CBSA ThinQ AI Amazon Alexa Apple Airplay 2 HDR 10 Otimizador de Games AI Sound","R$ 1099,00"
"Smart TV 50"" 4K LG UHD ThinQ AI 50UR8750PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI","R$ 2989,00"
"Samsung Smart TV OLED 55"" 4K UHD 55S90C - Alexa built in, Processador com IA, Painel de Pontos Quanticos","R$ 5599,00"
"Samsung Smart TV 50"" UHD 4K 50DU7700 - Processador Crystal 4K, Gaming Hub","R$ 2849,00"
"Samsung Combo Smart Big TV 75"" Crystal UHD 4K 75DU8000 2024 + Soundbar HW-B550/ZD","R$ 5799,00"
"SmartTV Aiwa 55” Android, 4K, Borda Ultrafina, Dolby Vision & Atmos - AWS-TV-55-BL-01 TV 55"" ANDROID - BORDA INFINITA AWS-TV-55-BL-01 BIVOLT","R$ 2418,07"
"Smart TV 40"" AOC Roku TV DLED Full HD 40S5045/78G - 220V","R$ 1559,00"
"Smart TV 4K 48"" LG OLED evo Gaming TV OLED48C4 Processador α9 Ger7 AI Painel 144Hz Design Ultra Slim Dolby Vision Dolby Atmos G-Sync FreeSync","R$ 5249,00"
"Smart TV Philips 32"" HD 32PHG6909/78 Google TV, Comando de Voz, HDR","R$ 1199,00"
"Samsung Smart TV 65"" Neo QLED 4K 65QN85D - Processador com AI, Upscaling 4K, Mini LED, Painel 120hz","R$ 7604,10"
"Samsung Smart TV 70"" QLED 4K 70Q65D - Tecnologia de Pontos Quânticos, Design AirSlim","R$ 6999,00"
"Smart TV 4K 55"" LG UHD 55UT9050 Processador α5 Ger7 AI Design Super Slim Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 2659,00"
"LG TV HOTEL 65""LED 4K UHD SMART 65UR871C ULTRAFINO, HDMI/USB, THINQ AI WEBOS 23, GOOGLE ASSISTENTE ALEXA","R$ 4689,00"
"Samsung Combo Smart TV 55"" QLED 4K 55Q65D 2024 + Soundbar HW-B550/ZD","R$ 4366,25"
Samsung Smart TV 50 polegadas QLED The Frame LS03D - Tela Matte,"R$ 4399,00"
"Samsung Smart TV 55"" UHD 4K 55DU7700 - Processador Crystal 4K, Gaming Hub","R$ 3149,00"
"Samsung Smart TV 55"" QLED 4K 55Q65D - Tecnologia de Pontos Quânticos, Design AirSlim","R$ 3899,00"
"Smart TV 4K 75"" LG NanoCell 75NANO80T Processador α5 Ger7 AI Hub de Esportes Alexa/Chromecast integrado webOS 24 Controle Smart Magic","R$ 5499,55"
"Smart TV HQ 50"" UHD tela sem bordas Android 13 design Slim HQS50NKHM","R$ 1879,00"
"Smart TV Philips 43"" Full HD 43PFG6918/78, Google TV, Comando de Voz, HDR, 3 HDMI, Wifi 5G, Bluetooth","R$ 2092,55"
"Smart TV Samsung 58"" UHD 4K 58CU7700 2023 + Soundbar HW-B550 Combo","R$ 4561,10"
"Samsung Smart TV 65"" QLED 4K 65Q65D - Tecnologia de Pontos Quânticos, Design AirSlim","R$ 5599,00"
"Patrocinado
Suporte Articulado de Parede para TVs de 14"" a 55"" – Ajuste Livre, Suporta até 30kg – Compatível com LED, LCD, Smart TV e Plasma","R$ 104,70"
"Patrocinado
Suporte Móvel Ajustável com Rodinhas Ideal para Geladeiras, Máquinas de Lavar e Móveis, Resistente, Reforçado, Até 200 Kg- Linha Premium","R$ 61,90"
"Patrocinado
Suporte TV Tri Articulado Universal de Parede Para Televisões de 26 a 60 Polegadas Feito em Aço Carbono Suporta 30KG (Triarticulado)","R$ 99,99"
"HQ Smart TV 60"" UHD 4K, HDR, Tela sem bordas, Android 11, Sistema Ultrasound, Design Slim, Processador Quad Core, Espelhamento de tela, HQSTV60NK","R$ 2529,00"
"Samsung Smart TV 65"" UHD 4K 65DU7700 - Processador Crystal 4K, Gaming Hub","R$ 3674,00"
"Samsung Smart Big TV 85"" Crystal UHD 4K 85DU8000 2024, Painel Dynamic Crystal Color, Alexa built in 85""","R$ 8318,63"
"Smart TV LED 32"" HD LG 32LQ621CBSB.AWZ - IA LG ThinQ, Alexa built-in","R$ 1149,90"
"Samsung Smart TV 65"" Neo QLED 8K 65QN800D - Processador com AI, Upscaling 8K AI, Mini LED, Painel até 165hz","R$ 10805,99"
"Samsung Smart TV Crystal 43"" 4K UHD CU7700 - Alexa built in, Samsung Gaming Hub","R$ 2259,00"
"Smart TV 43"" Crystal UHD 4K 43DU8000 2024 + Galaxy Buds FE Combo","R$ 2309,00"
"Smart TV 32"" Toshiba DLED HD - TB020M","R$ 1098,90"
"Smart TV 32"" LG HD 32LR650BPSA Processador α5 Ger6 AI Alexa integrado LG Channels webOS 23 compatível com Controle Smart Magic","R$ 1785,87"
Smart TV 24” Philco PTV24G5YR2CP Roku TV Dolby Audio,N/A
"Smart TV LG 43"" Full HD 43LM6370 WiFi Bluetooth HDR ThinQAI compatível com Inteligência Artificial","R$ 1899,00"
TCL QLED TV 50” C655 4K UHD GOOGLE TV DOLBY VISION ATMOS,N/A
"Smart TV 50"" QLED 4K 50Q60D 2024 + Soundbar HW-B550/ZD Combo","R$ 3599,00"
"Smart TV Neo QLED 55"" 8K UHD Samsung QN55QN700B - Alexa built-in, Mini LED","R$ 6999,00"
Samsung Smart TV 65 polegadas QLED The Frame LS03D - Tela Matte,"R$ 7399,00"
"Samsung AI Big TV 85"" Neo QLED 8K 85QN800D 2024, Processador com AI, Upscaling 8K AI, Mini LED, Painel até 165hz, Alexa Built-in","R$ 49999,00"
"Smart TV QLED 65"" 4K Toshiba 65C450NS Google TV 4 HDMI 2 USB Wi-Fi - TB036M","R$ 3600,57"
"Samsung Smart Big TV 75"" UHD 4K 75DU7700 - Processador Crystal 4K, Gaming Hub","R$ 6099,00"
"Samsung AI TV 65"" OLED 4K 65S90D 2024, Processador com AI, Painel até 144hz, Design LaserSlim, AI Energy Mode, Alexa built in","R$ 9391,99"
"Smart TV Buster LED 29"" HBTV-29D07HD com Conversor Digital Integrado 2 HDMI, 2 USB, Wi-Fi, bivolt.","R$ 1000,00"
"TV Digital Portátil LED 14 Polegadas com Entrada USB, AV, Antena, Fone De Ouvido Monitor Versátil com Tamanho Compacto Entretenimento para Carros, Vans e Demais Transportes","R$ 505,90"
